nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ALIMERA SCIENCES INC,COM NEW,016259202,134,27552,SH,SOLE,27552,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,
AMAZON COM INC,COM,023135106,76032,24147,SH,SOLE,24147,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,
AURORA CANNABIS INC,COM,05156X884,241,51879,SH,SOLE,51879,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,
BEYOND MEAT INC,COM,08862E109,19346,116500,SH,SOLE,116500,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,
ESTABLISHMENT LABS HLDGS INC,COM,G31249108,57767,3117485,SH,SOLE,3117485,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,ESTA
GROWGENERATION CORP,COM,39986L109,15624,977741,SH,SOLE,977741,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,
HORIZON THERAPEUTICS PUB L,SHS,G46188101,3936,50673,SH,SOLE,50673,0,0,0001549738,09-30-2020,13F-HR,false,"JW Asset Management, LLC",11-06-2020,HZNP
