nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ALIMERA SCIENCES INC,COM,016259202,110,27552,SH,SOLE,27552,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
AMAZON COM INC,COM,023135106,35138,18022,SH,SOLE,18022,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
AURORA CANNABIS INC,COM,05156X108,60,66538,SH,SOLE,66538,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
BEYOND MEAT INC,COM,08862E109,7559,113500,SH,SOLE,113500,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
ESTABLISHMENT LABS HLDGS INC,COM,G31249108,45048,3117485,SH,SOLE,3117485,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,ESTA
GROWGENERATION CORP,COM,39986L109,3687,967741,SH,SOLE,967741,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
HORIZON THERAPEUTICS PUB LTD,SHS,G46188101,1501,50673,SH,SOLE,50673,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,HZNP
ISHARES TR,CHINA LG-CAP ETF,464287184,3754,100000,SH,SOLE,100000,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
MICROSOFT CORP,COM,594918104,12065,76500,SH,SOLE,76500,0,0,0001549738,03-31-2020,13F-HR,false,"JW Asset Management, LLC",05-08-2020,
