nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
Aeglea,Common,00773J103,1104,240500,SH,DFND,240500,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,AGLE
Chiasma,Common,16706W102,1346,370671,SH,DFND,370671,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,CAIHF
Crispr,NAMEN AKT,H17182108,21952,519198,SH,DFND,519198,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,CRSP
Cymabay,Common,23257D103,191,131036,SH,DFND,131036,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,CBAY
Exicure,Common,30205M101,10186,6977000,SH,DFND,6977000,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,
Molecular Templates,Common,608550109,2642,200000,SH,DFND,200000,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,MTEM
Obseva,Common,H5861P103,210,87999,SH,DFND,87999,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,OBSV
Ocugen,Common,43358V109,2,7111,SH,DFND,7111,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,
Paratek,Common,699374302,3238,1041131,SH,DFND,1041131,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,PRTK
Personalis,Common,71535D106,43594,5449294,SH,DFND,5449294,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,PSNL
Phathom,Common,71722W107,30824,1203135,SH,DFND,1203135,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,PHAT
Artara,Common,04300J107,2620,113919,SH,DFND,113919,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,
Sientra,Common,82621J105,4686,2390843,SH,DFND,2390843,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,SIEN
Sierra Oncology,Common,82640U107,8590,876541,SH,DFND,876541,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,
Soleno,Common,834203200,15681,6969272,SH,DFND,6969272,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,SLNO
Verona,SPONDS ADR,925050106,3716,901943,SH,DFND,901943,0,0,0001397144,03-31-2020,13F-HR,false,Abingworth LLP,05-14-2020,VRNA
