,ticker,company_name,NASDAQ_sector
8,CEBCF,China Everbright Bank Co Ltd,Financial
9,ISNPY,Intesa Sanpaolo S.P.A. ADR (Sponsored) Repstg Ord Shs,Financial
10,AKBNF,AKBNF,Financial
11,BBD,Banco Bradesco Sa American Depositary Shares,Financial
12,TROW,"T. Rowe Price Group, Inc. Common Stock",Financial
13,WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,Financial
14,PINXF,PINXF,Financial
15,VRSK,"Verisk Analytics, Inc. Common Stock",Financial
16,CM,Canadian Imperial Bank of Commerce Common Stock,Financial
17,MQBKY,Macquarie Group Ltd ADR (New),Financial
18,MCQEF,Macquarie Group Ltd,Financial
19,AFL,AFLAC Incorporated Common Stock,Financial
0,UOVEF,United Overseas Bank Ltd. (Singapore),Financial
1,LYG,Lloyds Banking Group Plc American Depositary Shares,Financial
2,CIIHF,CITIC Securities Co. Ltd.,Financial
3,TRV,"The Travelers Companies, Inc. Common Stock",Financial
4,AIG,"American International Group, Inc. New Common Stock",Financial
5,NBNKF,Nordea Bank ABp,Financial
6,NRDBY,Nordea Bank ABp ADR (Sponsored),Financial
7,UOVEY,United Overseas Bank Ltd. (Singapore) ADR (Sponsored),Financial
8,MFC,Manulife Financial Corporation Common Stock,Financial
9,CHBJF,China Citic Bank Corp Ltd,Financial
10,CHKGF,CK Asset Holdings Ltd,Financial
11,MITEF,Mitsubishi Estate Co. Ltd.,Financial
12,EQR,Equity Residential Common Shares of Beneficial Interest,Financial
13,AVB,"AvalonBay Communities, Inc. Common Stock",Financial
14,ARZGY,Assicurazioni Generali S.p.A. ADR,Financial
15,PRU,"Prudential Financial, Inc. Common Stock",Financial
16,KKR,KKR &amp; Co. Inc. Class A Common Stock,Financial
17,CRARY,Credit Agricole SA ADR,Financial
18,ING,"ING Group, N.V. Common Stock",Financial
19,BCS,Barclays PLC Common Stock,Financial
0,MITEY,Mitsubishi Estate Co. Ltd. ADR,Financial
1,STT,State Street Corporation Common Stock,Financial
2,PPCCF,PICC Property and Casualty Co Ltd,Financial
3,HLDVF,Henderson Land Development Co. Ltd.,Financial
4,KBCSY,KBC Group Sa Nv ADR,Financial
5,SLF,Sun Life Financial Inc. Common Stock,Financial
6,BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Financial
7,MKTX,"MarketAxess Holdings, Inc. Common Stock",Financial
8,NDAQ,"Nasdaq, Inc. Common Stock",Financial
9,CS,Credit Suisse Group American Depositary Shares,Financial
10,MLYNF,Malayan Banking Berhad,Financial
11,HLDCY,Henderson Land Development Co. Ltd. ADR (Sponsored),Financial
12,AMTD,TD Ameritrade Holding Corporation Common Stock,Financial
13,BKRKF,Bank Rakyat Indonesia (P.T.),Financial
14,LKREF,Link Rl Est Invt Tr Uts,Financial
15,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",Financial
16,SSREY,Swiss Re Ltd. ADR (Sponsored),Financial
17,SSREF,Swiss Re Ltd.,Financial
18,DNHBY,DNB ASA ADR (Sponsored),Financial
19,HVRRY,Hannover Rueckversicherung SE ADR (Sponsored),Financial
0,O,Realty Income Corporation Common Stock,Financial
1,MTSFY,Mitsui Fudosan Co. Ltd. ADR,Financial
2,WELL,Welltower Inc. Common Stock,Financial
3,HUATF,Huatai Securities Co. Ltd.,Financial
4,AJG,Arthur J. Gallagher &amp; Co. Common Stock,Financial
5,MTSFF,Mitsui Fudosan Co. Ltd.,Financial
6,FRC,FIRST REPUBLIC BANK Common Stock,Financial
7,SPG,"Simon Property Group, Inc. Common Stock",Financial
8,MSADF,MS&amp;AD Insurance Group Holdings,Financial
9,GMGSF,Goodman Gp Sydney Stpld,Financial
10,RBS,Royal Bank of Scotland Group Plc New (The) ADS,Financial
11,IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",Financial
12,SCBFF,Standard Chartered Plc,Financial
13,UNCFF,Unicredito SpA,Financial
14,DWHHF,Deutsche Wohnen Ag Ord,Financial
15,SPHXF,Sm Prime Holding Intl Shs,Financial
16,AMP,"Ameriprise Financial, Inc. Common Stock",Financial
17,ESS,"Essex Property Trust, Inc. Common Stock",Financial
18,AYYLF,Ayala Corp,Financial
19,NTRS,Northern Trust Corporation Common Stock,Financial
0,PBLOF,Public Bank Ltd Local,Financial
1,IX,Orix Corp Ads Common Stock,Financial
2,DCNSF,Dai-ichi Life Insurance Co Ltd,Financial
3,WHLKF,Wheelock &amp; Co Ltd,Financial
4,ORXCF,Orix Corp,Financial
5,DWAHF,Daiwa House Ind Ord,Financial
6,SIOPF,Shimao Property Holdings Ltd,Financial
7,LGGNY,Legal &amp; General Group PLC (United Kingdom) ADR (Sponsored),Financial
8,DB,Deutsche Bank AG Common Stock,Financial
9,INVH,Invitation Homes Inc. Common Stock,Financial
10,WY,Weyerhaeuser Company Common Stock,Financial
11,BDORY,Banco do Brasil S.A. ADR (Sponsored),Financial
12,CTRGF,Country Garden Services Holdings Co Ltd,Financial
