,ticker,company_name,NASDAQ_sector
1,HLFBF,Hong Leong Financial Group Bhd,Financial
2,MTPOF,Metropolitan Bk &amp; Tr,Financial
3,TREE,"LendingTree, Inc. Common Stock",Financial
4,TMPPF,Times China Holdings Limited - Ordinary Shares,Financial
5,UNPA,UNB Corp. (PA),Financial
6,TRNO,Terreno Realty Corporation Common Stock,Financial
7,RLI,RLI Corp. Common Stock (DE),Financial
8,RIOCF,RioCan Real Estate Investment Trust Units,Financial
9,YUEXF,Yuexiu Property Co Ltd,Financial
10,TTUUF,Tokyu Fudosan Holdings Corp,Financial
11,SZNTF,Shenzhen Investment Ltd.,Financial
12,DOC,Physicians Realty Trust Common Shares of Beneficial Interest,Financial
13,ATVXF,Activia Properties Inc,Financial
14,HCXLF,Hiscox Ltd,Financial
15,IVZ,Invesco Ltd Common Stock,Financial
16,RMRHF,Rand Merchant Investment Holdings Ltd,Financial
17,PSSGF,P S G Group Ltd Ord,Financial
18,HPP,"Hudson Pacific Properties, Inc. Common Stock",Financial
19,UBSI,"United Bankshares, Inc. Common Stock",Financial
0,PSB,"PS Business Parks, Inc. Common Stock",Financial
1,PBDIF,PBDIF,Financial
2,BKPKF,Bank Polska Kasa Opieki SA - Ordinary Shares,Financial
3,GTWCF,Greentown China Hldgs Ltd,Financial
4,EHTH,"eHealth, Inc. Common Stock",Financial
5,BPOP,"Popular, Inc. Common Stock",Financial
6,MAPGF,Mapletree Logistics Tr Ut,Financial
7,KNSL,"Kinsale Capital Group, Inc. Common Stock",Financial
8,FRTIF,Fortress REIT Limited - Ordinary Shares - Class A,Financial
9,AMG,"Affiliated Managers Group, Inc. Common Stock",Financial
10,WAL,Western Alliance Bancorporation Common Stock (DE),Financial
11,SIOLF,Sino-Ocean Land Holdings Ltd,Financial
12,BOKF,BOK Financial Corporation Common Stock,Financial
13,SKLKF,Shinsei Bank Ltd,Financial
14,SLG,SL Green Realty Corp Common Stock,Financial
15,YFGSF,Yamaguchi Fincl Grp Inc,Financial
16,IFS,Intercorp Financial Services Inc. Common Shares,Financial
17,AXS,Axis Capital Holdings Limited Common Stock,Financial
18,CAIAF,CA Immobilien Anlagen Aktiengesellschaft,Financial
19,SF,Stifel Financial Corporation Common Stock,Financial
0,BXMT,"Blackstone Mortgage Trust, Inc. Common Stock",Financial
1,AIBRF,AIB Group PLC,Financial
2,UNM,Unum Group Common Stock,Financial
3,CNS,Cohen &amp; Steers Inc Common Stock,Financial
4,FCFS,"FirstCash, Inc. Common Stock",Financial
5,AMLTF,AMP Ltd.,Financial
6,MPCFF,Metro Pacific Investments Corp,Financial
7,SLM,SLM Corporation Common Stock,Financial
8,ESGR,Enstar Group Limited Ordinary Shares,Financial
9,SIGI,"Selective Insurance Group, Inc. Common Stock",Financial
10,BRX,Brixmor Property Group Inc. Common Stock,Financial
11,VLY,Valley National Bancorp Common Stock,Financial
12,RYN,Rayonier Inc. REIT Common Stock,Financial
13,WTM,"White Mountains Insurance Group, Ltd. Common Stock",Financial
14,OMF,"OneMain Holdings, Inc. Common Stock",Financial
15,CBU,"Community Bank System, Inc. Common Stock",Financial
16,SURVF,Suntec Rl Est Invt Tr Uts,Financial
17,BKQNF,Bank of Queensland Ltd - Ordinary Shares,Financial
18,SRC,"Spirit Realty Capital, Inc. Common Stock",Financial
19,LAZ,"Lazard LTD. Lazard, LTD. Class A Common Stock",Financial
0,AMMHF,AMMB Holdings BHD,Financial
1,AMLLF,Aeon Mall Co,Financial
2,CNNE,"Cannae Holdings, Inc. Common Stock",Financial
3,RDN,Radian Group Inc. Common Stock,Financial
4,ESNT,Essent Group Ltd. Common Shares,Financial
5,PPRQF,Choice Properties Real Estate Investment Trust Tr Unit,Financial
6,CLALF,Clal Biotechnology Industries Ltd,Financial
7,PNFP,"Pinnacle Financial Partners, Inc. Common Stock",Financial
8,CEVIF,China Everbright Ihd Pac,Financial
9,QUILF,Quilter plc,Financial
10,ELEEF,Element Fleet Management Corp - Ordinary Shares,Financial
11,OZK,Bank OZK Common Stock,Financial
12,ARPTF,Airport City Ltd,Financial
13,AL,Air Lease Corporation Class A Common Stock,Financial
14,BHF,"Brighthouse Financial, Inc. Common Stock",Financial
15,SAFE,Safehold Inc. Common Stock,Financial
16,NRZ,New Residential Investment Corp. Common Stock,Financial
17,KPDCF,Keppel DC REIT Management Petroleum Ltd Units REIT Reg S,Financial
18,OFC,Corporate Office Properties Trust Common Stock,Financial
19,MRGIF,Mori Tr Sogo Reit Inc Ord,Financial
0,SBRA,"Sabra Health Care REIT, Inc. Common Stock",Financial
1,FHN,First Horizon National Corporation Common Stock,Financial
2,IMMZF,Immofinanz Ag,Financial
3,RDFN,Redfin Corporation Common Stock,Financial
4,MIC,Macquarie Infrastructure Corporation Common Stock,Financial
5,TCO,"Taubman Centers, Inc. Common Stock",Financial
6,KREVF,Keppel Reit Unit Reit,Financial
7,ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",Financial
8,SNV,Synovus Financial Corp. Common Stock,Financial
9,HHC,Howard Hughes Corporation (The) Common Stock,Financial
10,FG,FGL Holdings Ordinary Share,Financial
11,PFSI,"PennyMac Financial Services, Inc. Common Stock",Financial
12,CTOUF,Charter Hall Group Stapled Security,Financial
13,LXP,Lexington Realty Trust Common Stock,Financial
14,CVBF,CVB Financial Corporation Common Stock,Financial
15,MTG,MGIC Investment Corporation Common Stock,Financial
16,BOH,Bank of Hawaii Corporation Common Stock,Financial
17,CIFAF,CI Financial Corp,Financial
18,BYLOF,Big Yellow Group Plc Ord,Financial
19,BKTOF,BKTOF,Financial
0,AGO,Assured Guaranty Ltd. Common Stock,Financial
1,VVNT,"Vivint Smart Home, Inc. ",Financial
2,IGUEF,Iguatemi Empresa de Shopping Centers SA,Financial
3,GSHD,"Goosehead Insurance, Inc. Class A Common Stock",Financial
4,BXRBF,Bendigo &amp; Adelaide Bl Ord,Financial
5,AAN,"Aaron's, Inc. Common Stock",Financial
6,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Financial
7,MCY,Mercury General Corporation Common Stock,Financial
8,UMPQ,Umpqua Holdings Corporation Common Stock,Financial
9,UMBF,UMB Financial Corporation Common Stock,Financial
10,NHI,"National Health Investors, Inc. Common Stock",Financial
11,AB,AllianceBernstein Holding L.P.  Units,Financial
12,PCH,PotlatchDeltic Corporation Common Stock,Financial
13,FNB,F.N.B. Corporation Common Stock,Financial
14,HOMB,"Home BancShares, Inc. Common Stock",Financial
15,CWK,Cushman &amp; Wakefield plc Ordinary Shares,Financial
16,FHI,"Federated Hermes, Inc. Common Stock",Financial
17,UILCF,United Industrial Corp. Ltd.,Financial
18,WRI,Weingarten Realty Investors Common Stock,Financial
19,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock",Financial
0,EVR,Evercore Inc. Class A Common Stock,Financial
1,TYTMF,Tokyo Tatemono Co. Ltd.,Financial
2,WBS,Webster Financial Corporation Common Stock,Financial
3,AEOJF,Aeon Fincl Svcs Jpn Ord,Financial
4,ONB,Old National Bancorp Common Stock,Financial
5,TRTN,Triton International Limited Common Shares,Financial
6,NGHC,National General Holdings Corp Common Stock,Financial
7,CAOYF,China Aoyuan Group Ltd,Financial
8,FRIVF,Fortune Re Invst Tr Units,Financial
9,EPR,EPR Properties Common Stock,Financial
10,GATX,GATX Corporation Common Stock,Financial
11,FNMA,Fannie Mae,Financial
12,SOHOF,Soho China Ltd Ord,Financial
13,STL,Sterling Bancorp,Financial
14,ISBC,"Investors Bancorp, Inc. Common Stock",Financial
15,BXS,BancorpSouth Bank Common Stock,Financial
16,IOOFF,IOOF Holdings Ltd,Financial
17,WTFC,Wintrust Financial Corporation Common Stock,Financial
18,FLLHF,Fullshare Holdings Ltd,Financial
19,ANAT,American National Insurance Company Common Stock,Financial
0,KYUNF,Kyushu Financial Group Inc,Financial
1,ASB,Associated Banc-Corp Common Stock,Financial
2,CMPR,Cimpress plc Ordinary Shares (Ireland),Financial
3,MAIN,Main Street Capital Corporation Common Stock,Financial
4,CIGI,Colliers International Group Inc. Subordinate Voting Shares,Financial
5,INDB,Independent Bank Corp. Common Stock,Financial
6,IBKC,IBERIABANK Corporation Common Stock,Financial
7,PJT,PJT Partners Inc. Class A Common Stock,Financial
8,EFGXY,EFG International Zuerich ADR,Financial
9,AKAAF,Aker Asa A Shs,Financial
10,KW,Kennedy-Wilson Holdings Inc. Common Stock,Financial
11,PACW,PacWest Bancorp Common Stock,Financial
12,HAHRF,Harel Insurance Investments Ltd.,Financial
13,APLE,"Apple Hospitality REIT, Inc. Common Shares",Financial
14,OUT,OUTFRONT Media Inc. Common Stock,Financial
15,SGHIF,Shanghai Industrial Holdings Ltd,Financial
16,FHB,"First Hawaiian, Inc. Common Stock",Financial
17,CATY,Cathay General Bancorp Common Stock,Financial
18,NDBKF,Nedbank Group Ltd,Financial
19,AMK,"AssetMark Financial Holdings, Inc. Common Stock",Financial
0,FIBK,"First Interstate BancSystem, Inc. Class A Common Stock",Financial
1,GDOT,"Green Dot Corporation Class A Common Stock, $0.001 par value",Financial
2,CNO,"CNO Financial Group, Inc. Common Stock",Financial
3,WAFD,"Washington Federal, Inc. Common Stock",Financial
4,CGHBF,CGHBF,Financial
5,EFGIF,EFG International Zuerich,Financial
6,DEA,"Easterly Government Properties, Inc. Common Stock",Financial
7,NNI,"Nelnet, Inc. Common Stock",Financial
8,PK,Park Hotels &amp; Resorts Inc. Common Stock ,Financial
9,CFIGF,Challenger Ltd.,Financial
10,PDM,"Piedmont Office Realty Trust, Inc. Class A Common Stock",Financial
11,PTPKF,Pt Pakuwon Jati Tbk,Financial
12,NPRUF,Northview Apartment Real Estate Investment Trust Tr Unit,Financial
13,HKIB,"AMTD International Inc. American Depositary Shares, each representing one Class A Ordinary Share",Financial
14,IBOC,International Bancshares Corporation Common Stock,Financial
15,NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,Financial
16,FBLV,First Bancorp,Financial
17,AEL,American Equity Investment Life Holding Company Common Stock,Financial
18,SFBS,"ServisFirst Bancshares, Inc. Common Stock",Financial
19,PGRE,"Paramount Group, Inc. Common Stock",Financial
0,QUCOF,Qualitas Controladora SAB De CV,Financial
1,PSEC,Prospect Capital Corporation Common Stock,Financial
2,CSFL,CenterState Bank Corporation Common Stock,Financial
3,NOAH,Noah Holdings Limited,Financial
4,CBGPF,Close Brothers Group Plc (United Kingdom),Financial
5,R,"Ryder System, Inc. Common Stock",Financial
6,SFNC,Simmons First National Corporation Class A Common Stock,Financial
7,PRKWF,Parkway Life Reit Uts,Financial
8,ICHIF,Ichigo Group Holdings Co. Ltd.,Financial
9,GGABF,Grupo Fin Galicia B,Financial
10,SHO,"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",Financial
11,MPCIY,Metro Pacific Investments Corp ADR (Sponsored) Level 1,Financial
12,HACBF,Hachijuni Bank Ltd. (Japan),Financial
13,APG,APi Group Corporation Common Stock,Financial
14,FRZCF,Frasers Centrepoint Trust,Financial
15,NIPOF,Ippon Hotel Fd Invt Ord,Financial
16,CSASF,Credit Saison Ord,Financial
17,AOTUF,Precinct Properties Nz,Financial
18,SOLLF,Shui On Land Ltd Ord,Financial
19,MC,Moelis &amp; Company Class A Common Stock,Financial
0,FSK,FS KKR Capital Corp. Common Stock,Financial
1,FOCS,Focus Financial Partners Inc. Class A Common Stock,Financial
2,FULT,Fulton Financial Corporation Common Stock,Financial
3,AUB,Atlantic Union Bankshares Corporation Common Stock,Financial
4,CTRE,"CareTrust REIT, Inc. Common Stock",Financial
5,CFFN,"Capitol Federal Financial, Inc. Common Stock",Financial
6,WRE,Washington Real Estate Investment Trust Common Stock,Financial
7,FLTDF,Flow Traders Cooperatief UA,Financial
8,BJCLF,Beijing Capital Land Ltd,Financial
9,GMBKF,Gunma Bank Ltd (The),Financial
10,JRHIF,Daiwa Securities Living Investment Corp,Financial
11,NWEGF,Norwegian Finans Holding ASA,Financial
12,SVLPF,Savills Plc Ord,Financial
13,MGAWY,Megaworld Corp ADR,Financial
14,HGV,Hilton Grand Vacations Inc. Common Stock ,Financial
15,UNIT,Uniti Group Inc. Common Stock,Financial
16,SYBJF,Security Bank Corp,Financial
17,TRHF,TRHF Co Ltd Inc,Financial
18,BCVMF,Banco Macro S.A.,Financial
19,LX,LexinFintech Holdings Ltd. American Depositary Shares,Financial
0,YUXXF,Yuexiu Reit Units,Financial
1,CLBK,"Columbia Financial, Inc. Common Stock",Financial
2,WABC,Westamerica Bancorporation Common Stock,Financial
3,COLB,"Columbia Banking System, Inc. Common Stock",Financial
4,AAT,"American Assets Trust, Inc. Common Stock",Financial
5,BDN,Brandywine Realty Trust Common Stock,Financial
6,KWHAF,K Wah Intl Hldgs Ltd Ord,Financial
7,SSB,South State Corporation Common Stock,Financial
8,GBDC,"Golub Capital BDC, Inc. Common Stock",Financial
9,FBBPF,Fibra Prologis REIT Ctfs,Financial
10,CIM,Chimera Investment Corporation Common Stock,Financial
11,MGAWF,Megaworld Corp,Financial
12,SCPAF,Shopping Centres Aust Stp,Financial
13,HWC,Hancock Whitney Corporation Common Stock,Financial
14,TKURF,Tokyu Reit Inc,Financial
15,UBOPF,Union Bank of the Philippines,Financial
16,CIT,CIT Group Inc (DEL) Common Stock,Financial
17,PLMR,"Palomar Holdings, Inc. Common stock",Financial
18,RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,Financial
19,FBC,"Flagstar Bancorp, Inc. Common Stock",Financial
0,RHP,"Ryman Hospitality Properties, Inc. (REIT)",Financial
1,QFIN,"360 Finance, Inc. American Depositary Shares",Financial
2,GNW,Genworth Financial Inc Common Stock,Financial
3,WSC,WillScot Corporation Common Stock,Financial
4,IVINF,Invincible Investment Corporation - Ordinary Shares,Financial
5,FCPT,"Four Corners Property Trust, Inc. Common Stock",Financial
6,YUMM,Yummies Inc,Financial
7,TRMK,Trustmark Corporation Common Stock,Financial
8,ABCB,Ameris Bancorp Common Stock,Financial
9,HMN,Horace Mann Educators Corporation Common Stock,Financial
10,PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,Financial
11,RCII,Rent-A-Center Inc. Common Stock,Financial
12,CXP,"Columbia Property Trust, Inc. Common Stock",Financial
13,UNJCF,Unicaja Banco S A,Financial
14,NAVI,Navient Corporation Common Stock,Financial
15,BKU,"BankUnited, Inc. Common Stock",Financial
16,HTH,Hilltop Holdings Inc.,Financial
17,EGFEY,Eurobank Ergasias Services &amp; Holdings SA ADR,Financial
18,LTC,"LTC Properties, Inc. Common Stock",Financial
19,IIPR,"Innovative Industrial Properties, Inc. Common Stock",Financial
0,ALGGF,Alliance Global Group Inc,Financial
1,GEO,Geo Group Inc (The) REIT,Financial
2,FMBI,"First Midwest Bancorp, Inc. Common Stock",Financial
3,VKPPF,Vukile Property Fund Ltd,Financial
4,UCBI,"United Community Banks, Inc. Common Stock",Financial
5,CLI,Mack-Cali Realty Corporation Common Stock,Financial
6,FRME,First Merchants Corporation Common Stock,Financial
7,CBMI,Csb Bancorp Inc (Mich),Financial
8,WSBC,"WesBanco, Inc. Common Stock",Financial
9,MINI,"Mobile Mini, Inc. Common Stock",Financial
10,RNHEF,China Dili Group,Financial
11,SPRBF,Sparebank 1 Ostlandet,Financial
12,CXW,"CoreCivic, Inc. Common Stock",Financial
13,IMVT,"Immunovant, Inc. Common Stock",Financial
14,WSFS,WSFS Financial Corporation Common Stock,Financial
15,TCBI,"Texas Capital Bancshares, Inc. Common Stock",Financial
16,MGRC,McGrath RentCorp Common Stock,Financial
17,FLLZ,FLLZ,Financial
18,AHCO,AdaptHealth Corp. Class A Common Stock,Financial
19,CNLLF,Central China Real Estate Ltd,Financial
0,NBTB,NBT Bancorp Inc. Common Stock,Financial
1,GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Financial
2,CBWBF,Canadian Western Bank,Financial
3,BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Financial
4,ITCB,"Itau CorpBanca American Depositary Shares (each representing 1,500 shares of Common Stock, no par value)",Financial
5,PBPJF,PBPJF,Financial
6,TOWN,TowneBank Common Stock,Financial
7,BRMSY,BR Malls Participacoes SA ADR (Sponsored),Financial
8,DAHSF,Dah Sing Fincl Hldg Ltd,Financial
9,TWO,Two Harbors Investment Corp,Financial
10,IBTX,"Independent Bank Group, Inc Common Stock",Financial
11,SAFT,"Safety Insurance Group, Inc. Common Stock",Financial
12,NWBI,"Northwest Bancshares, Inc. Common Stock",Financial
13,TSLX,"TPG Specialty Lending, Inc. Common Stock",Financial
14,ALX,"Alexander's, Inc. Common Stock",Financial
15,RNST,Renasant Corporation Common Stock,Financial
16,BROG,Brooge Energy Limited Ordinary Shares,Financial
17,HTGC,"Hercules Capital, Inc. Common Stock",Financial
18,GNL,"Global Net Lease, Inc. Common Stock",Financial
19,PRK,Park National Corporation Common Stock,Financial
0,FFBC,First Financial Bancorp. Common Stock,Financial
1,MNR,Monmouth Real Estate Investment Corporation Class A Common Stock,Financial
2,WD,"Walker &amp; Dunlop, Inc Common Stock",Financial
3,AX,"Axos Financial, Inc. Common Stock",Financial
4,UHT,Universal Health Realty Income Trust Common Stock,Financial
5,SHTRF,Sunlight Real Estate Investment Trust Units,Financial
6,FANH,Fanhua Inc. American Depositary Shares,Financial
7,RETDF,Reit 1 Ltd,Financial
8,NFH,New Frontier Health Corporation Ordinary Shares,Financial
9,RKGXF,Road Infrastructure,Financial
10,EPRT,"Essential Properties Realty Trust, Inc. Common Stock",Financial
11,ARI,"Apollo Commercial Real Estate Finance, Inc",Financial
12,AMSF,"AMERISAFE, Inc. Common Stock",Financial
13,BOMXF,Bolsa Mexicana Val A Shs,Financial
14,BANR,Banner Corporation Common Stock,Financial
15,HRSMF,Hiroshima Bank Ltd (The) (Japan),Financial
16,GZTGF,Gazit-Globe Ltd - Ordinary Shares,Financial
17,OPI,Office Properties Income Trust Common Shares of Beneficial Interest,Financial
18,BANF,BancFirst Corporation Common Stock,Financial
19,BDNHF,Brewin Dolphin Hldgs Plc,Financial
0,JOE,St. Joe Company (The) Common Stock,Financial
1,ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,Financial
2,NTB,Bank of N.T. Butterfield &amp; Son Limited (The) Voting Ordinary Shares,Financial
3,FMCC,Freddie Mac,Financial
4,FBP,First BanCorp. New Common Stock,Financial
5,NWHUF,NorthWest Healthcare Properties REIT Tr Unit,Financial
6,MMI,"Marcus &amp; Millichap, Inc. Common Stock",Financial
7,PPBI,Pacific Premier Bancorp Inc,Financial
8,CODI,Compass Diversified Holdings Shares of Beneficial Interest,Financial
9,PRPLF,Perpetual Ltd,Financial
10,HOPE,"Hope Bancorp, Inc. Common Stock",Financial
11,ACNDF,Ascendas India Trust Unit,Financial
12,HTLF,"Heartland Financial USA, Inc. Common Stock",Financial
13,COFUF,Coronation Fund Managers Ltd,Financial
14,CMLEF,Cominar Real Estate Investment Trust Tr Units,Financial
15,BNZIF,Banco Invex S A Institucion De Banca Multiple Invex Grupo Financiero Mortgage Trusts,Financial
16,ARGO,"Argo Group International Holdings, Ltd.",Financial
17,MRCBF,Morguard Corp,Financial
18,ROIC,Retail Opportunity Investments Corp. Common Stock (MD),Financial
19,UE,Urban Edge Properties Common Shares of Beneficial Interest,Financial
0,TRUP,"Trupanion, Inc. Common Stock",Financial
1,GTY,Getty Realty Corporation Common Stock,Financial
2,ECPG,Encore Capital Group Inc Common Stock,Financial
3,BRMK,Broadmark Realty Capital Inc. Common Stock,Financial
4,SBCF,Seacoast Banking Corporation of Florida Common Stock,Financial
5,GBCEF,GBCEF,Financial
6,VCTR,"Victory Capital Holdings, Inc. Class A Common Stock",Financial
7,SASR,"Sandy Spring Bancorp, Inc. Common Stock",Financial
8,BBAJF,Banco Del Bajio SA,Financial
9,LKFN,Lakeland Financial Corporation Common Stock,Financial
10,CRESF,Cresud SA Comercial Industrial Financiera Y Agropecuaria Cres,Financial
11,PHKIF,Poly Ppty Group Co Ord,Financial
12,JRVR,"James River Group Holdings, Ltd. Common Shares",Financial
13,SMMCF,Summit Industrial Income REIT Tr Unit New,Financial
14,CESTF,Chinese Ests Hldgs Ord,Financial
15,BGCP,"BGC Partners, Inc Class A Common Stock",Financial
16,BOWFF,Boardwalk Real Estate Investment Trust Tr Unit,Financial
17,ALBKF,Alpha Bank SA,Financial
18,CGIUF,ESR REIT Units,Financial
19,EGBN,"Eagle Bancorp, Inc. Common Stock",Financial
0,FRHC,Freedom Holding Corp. Common Stock,Financial
1,CCX,Churchill Capital Corp II Class A Common Stock,Financial
2,RPAI,"Retail Properties of America, Inc. Class A Common Stock",Financial
3,MAC,Macerich Company (The) Common Stock,Financial
4,SITC,SITE Centers Corp. Common Stock,Financial
5,CRVL,CorVel Corp. Common Stock,Financial
6,PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,Financial
7,CHCO,City Holding Company Common Stock,Financial
8,AGLY,Agiliti Inc - Ordinary Shares,Financial
9,AKR,Acadia Realty Trust Common Stock,Financial
10,UMTAF,Genertec Universal Medical Group Co,Financial
11,DRH,Diamondrock Hospitality Company Common Stock,Financial
12,NMIH,NMI Holdings Inc. Class A Common Stock,Financial
13,RREIF,Regal Rl Est Invt Tr Uts,Financial
14,PLAZF,Platzer Fastigheter Holding AB,Financial
15,IRT,"Independence Realty Trust, Inc. Common Stock",Financial
16,SBSI,"Southside Bancshares, Inc. Common Stock",Financial
17,LRCDF,Laurentian Bank of Canada,Financial
18,COOP,Mr. Cooper Group Inc. Common Stock,Financial
19,WDR,"Waddell &amp; Reed Financial, Inc. Common Stock",Financial
0,DRETF,Dream Office Real Estate Investment Trust Tr Unit Ser A,Financial
1,TMP,Tompkins Financial Corporation Common Stock,Financial
2,STFC,State Auto Financial Corporation Common Stock,Financial
3,PAE,PAE Incorporated Class A Common Stock,Financial
4,FPAFF,First Pacific Co. Ltd.,Financial
5,FFG,"FBL Financial Group, Inc. Common Stock",Financial
6,XHR,"Xenia Hotels &amp; Resorts, Inc. Common Stock",Financial
7,OCFC,OceanFirst Financial Corp. Common Stock,Financial
8,BUSE,First Busey Corporation Class A Common Stock,Financial
9,CAR,"Avis Budget Group, Inc. Common Stock",Financial
10,EIG,Employers Holdings Inc Common Stock,Financial
11,STBA,"S&amp;T Bancorp, Inc. Common Stock",Financial
12,EQGPF,Equitable Group Inc,Financial
13,ALPC,Alpha Investment Inc,Financial
14,RPAY,Repay Holdings Corporation Class A Common Stock,Financial
15,LADR,Ladder Capital Corp Class A Common Stock,Financial
16,FPAC,Far Point Acquisition Corporation Class A Common Stock,Financial
17,RMR,The RMR Group Inc. Class A Common Stock,Financial
18,OSBHF,Oslo Bors Vps Holding As,Financial
19,CDHSF,Cdl Hospitality Tr Stpld,Financial
0,IARE,InvenTrust Properties Corp,Financial
1,SVC,Service Properties Trust Common Stock,Financial
2,AC,"Associated Capital Group, Inc. Common Stock",Financial
3,VUPPF,Verwaltungs Und Pri,Financial
4,KWIPF,Kiwi Property Group Ltd,Financial
5,SG,"Sirius International Insurance Group, Ltd. Common Share",Financial
6,FMBL,Farmers &amp; Merchants Bank of Long Beach (CA),Financial
7,CHCT,Community Healthcare Trust Incorporated Common Stock,Financial
8,NMFC,New Mountain Finance Corporation Common Stock,Financial
9,PFS,"Provident Financial Services, Inc Common Stock",Financial
10,KREF,KKR Real Estate Finance Trust Inc. Common Stock,Financial
11,PIPR,Piper Sandler Companies Common Stock,Financial
12,INTL,INTL FCStone Inc. Common Stock,Financial
13,IRET,Investors Real Estate Trust Shares of Beneficial Interest,Financial
14,CFNCF,Cie Financiere Tradition,Financial
15,VBTX,"Veritex Holdings, Inc. Common Stock",Financial
16,SRCE,1st Source Corporation Common Stock,Financial
17,CLNY,"Colony Capital, Inc.",Financial
18,FPH,"Five Point Holdings, LLC Class A Common Shares",Financial
19,ALEX,"Alexander &amp; Baldwin, Inc. Common Stock REIT Holding Company",Financial
0,FRTCF,Far East Consortium Intl,Financial
1,TCBK,TriCo Bancshares Common Stock,Financial
2,CADE,Cadence Bancorporation Class A Common Stock,Financial
3,SFHD,SFHD,Financial
4,PRA,ProAssurance Corporation Common Stock,Financial
5,ABR,Arbor Realty Trust Common Stock,Financial
6,NBHC,National Bank Holdings Corporation Common Stock,Financial
7,SPAQ,Spartan Energy Acquisition Corp Class A Common Stock,Financial
8,SRMGF,Sparebank 1 Smn Prim Cap,Financial
9,HYKUF,Hyakugo Bank Ltd. (Japan),Financial
10,FTAI,Fortress Transportation and Infrastructure Investors LLC Common Shares,Financial
11,FKKEF,Charter Hall Social Infrastructure REIT Units Fully Paid,Financial
12,STAR,iStar Inc. Common Stock,Financial
13,ADPPF,Ado Properties SA,Financial
14,KRG,Kite Realty Group Trust Common Stock,Financial
15,GABC,"German American Bancorp, Inc. Common Stock",Financial
16,FCF,First Commonwealth Financial Corporation Common Stock,Financial
17,ARESF,Artis Real Estate Investment Trust Tr Unit,Financial
18,BBAR,Banco BBVA Argentina S.A. ADS,Financial
19,BEIJF,Beijing North Star Corp,Financial
0,RMAX,"RE/MAX Holdings, Inc. Class A Common Stock",Financial
1,NXRT,"NexPoint Residential Trust, Inc. Common Stock",Financial
2,AFIN,"American Finance Trust, Inc. Class A Common Stock",Financial
3,BRP,"BRP Group, Inc. (Insurance Company) Class A Common Stock",Financial
4,STC,Stewart Information Services Corporation Common Stock,Financial
5,HFAHF,Navigator Global Investments Ltd,Financial
6,BNGYF,BNGYF,Financial
7,MFA,"MFA Financial, Inc.",Financial
8,LVSDF,Lai Sun Development Co Ltd,Financial
9,BRKL,"Brookline Bancorp, Inc. Common Stock",Financial
10,VTIQ,VectoIQ Acquisition Corp. Common Stock,Financial
11,LMMHF,Langham Hospitality Investments Ltd Share Stapled Unit,Financial
12,SAMZF,Samui Airport Ppty Fd,Financial
13,TPRE,Third Point Reinsurance Ltd. Common Shares,Financial
14,KRNY,Kearny Financial Corp Common Stock,Financial
15,SGLMF,Starhill Global Re Inv Tr,Financial
16,GSKY,"GreenSky, Inc. Class A Common Stock",Financial
17,DBMBF,FIBRA,Financial
18,VPGLF,Value Partners Group Ltd,Financial
19,ACEL,"Accel Entertainment, Inc. ",Financial
0,FBK,FB Financial Corporation Common Stock,Financial
1,BHPA,BHPA Inc,Financial
2,WTBFB,W.T.B. Financial Corp.,Financial
3,HRI,Herc Holdings Inc. Common Stock ,Financial
4,NMRK,"Newmark Group, Inc. Class A Common Stock",Financial
5,GWB,"Great Western Bancorp, Inc. Common Stock",Financial
6,SPIZF,Sparebanken Vest AS,Financial
7,NWLI,"National Western Life Group, Inc. Class A Common Stock",Financial
8,SYBT,"Stock Yards Bancorp, Inc. Common Stock",Financial
9,EFSC,Enterprise Financial Services Corporation Common Stock,Financial
10,CDCTF,Goldcrest Co Ltd,Financial
11,BFS,"Saul Centers, Inc. Common Stock",Financial
12,NYMT,"New York Mortgage Trust, Inc. Common Stock",Financial
13,BSIG,BrightSphere Investment Group Inc. Common Stock,Financial
14,SLRC,Solar Capital Ltd. Common Stock,Financial
15,VRTS,"Virtus Investment Partners, Inc. Common Stock",Financial
16,AGM,Federal Agricultural Mortgage Corporation Common Stock,Financial
17,GSBD,"Goldman Sachs BDC, Inc. Common Stock",Financial
18,UFCS,"United Fire Group, Inc. Common Stock",Financial
19,FOR,Forestar Group Inc Common Stock ,Financial
0,FBNC,First Bancorp Common Stock,Financial
1,DBMXF,Deutsche Bank Mexico Reit,Financial
2,SPOXF,Sprott Inc,Financial
3,FBAK,First National Bank Alaska,Financial
4,RBCAA,"Republic Bancorp, Inc. Class A Common Stock",Financial
5,QK,Q&amp;K International Group Limited American Depositary Shares,Financial
6,VESTF,Vesta,Financial
7,CCH,Collier Creek Holdings Class A Ordinary Shares,Financial
